pnu;name;data_type;parameter_id
1;P.1.1147990.0.0_controlword1;UINT;1.1147990.0
2;P.1.1145990.0.0_statusword1;UINT;1.1145990.0
3;P.1.1148990.0.0_controlword2;UINT;1.1148990.0
4;P.1.1146990.0.0_statusword2;UINT;1.1146990.0
5;P.1.11280502.0.0_speedSetpoint;INT;1.11280502.0
6;P.1.1210.0.0_outputV0;INT;1.1210.0
7;P.1.11280502.0.0_speedSetpoint;DINT;1.11280502.0
8;P.1.1210.0.0_outputV0;DINT;1.1210.0
9;P.1.1149990.0.0_sensorControlword;UINT;1.1149990.0
10;P.1.1143990.0.0_sensorStatusword;UINT;1.1143990.0
11;P.1.1142990.0.0_sensorPosition;UDINT;1.1142990.0
12;P.1.1141990.0.0_sensorPosition;UDINT;1.1141990.0
13;P.1.1149990.1.0_sensorControlword;UINT;1.1149990.1
14;P.1.1143990.1.0_sensorStatusword;UINT;1.1143990.1
15;P.1.1142990.1.0_sensorPosition;UDINT;1.1142990.1
16;P.1.1141990.1.0_sensorPosition;UDINT;1.1141990.1
25;P.1.1129990.0.0_systemDeviation;DINT;1.1129990.0
26;P.1.1127990.0.0_positionGainFactor;DINT;1.1127990.0
28;P.1.113104.0.0_actualPositionModulo;DINT;1.113104.0
32;P.1.112415990.0.0_recordSelection;UINT;1.112415990.0
33;P.1.112416990.0.0_actualRecordSelection;UINT;1.112416990.0
34;P.1.11280604.0.0_mdiTargetPosition;DINT;1.11280604.0
35;P.1.11280605.0.0_mdiVeclocity;UDINT;1.11280605.0
36;P.1.11280606.0.0_mdiAcceleration;INT;1.11280606.0
37;P.1.11280607.0.0_mdiDeceleration;INT;1.11280607.0
38;P.1.112417990.0.0_mdiMod;UINT;1.112417990.0
101;P.1.1126990.0.0_torqueReduction;INT;1.1126990.0
102;P.1.11249990.0.0_reportword;UINT;1.11249990.0
205;P.1.11280611.0.0_positioningVelocityOverride;INT;1.11280611.0
220;P.1.112411990.0.0_posControlword1;UINT;1.112411990.0
221;P.1.112412990.0.0_posStatusword1;UINT;1.112412990.0
222;P.1.112414990.0.0_posControlword2;UINT;1.112414990.0
223;P.1.112413990.0.0_posStatusword2;UINT;1.112413990.0
301;P.1.11280062.0.0_faultNumberActive;UINT;1.11280062.0
303;P.1.11280063.0.0_warnNumberActive;UINT;1.11280063.0
311;P.1.101951.0.0_torqueOffset_T750;INT;1.101951.0
312;P.1.101985.0.0_torqueMax_T750;INT;1.101985.0
313;P.1.101981.0.0_torqueMin_T750;INT;1.101981.0
314;P.1.151.0.0_torqueActDrive;INT;1.151.0
315;P.1.101993.0.0_GainFactor;INT;1.101993.0
800;P.0.31235.0.0_syncTime;REAL;0.31235.0
801;P.0.54543.0.0_reqState;DINT;0.54543.0
802;P.0.54544.0.0_actState;DINT;0.54544.0
803;P.1.4246.0.0_reductionRatio;UDINT;1.4246.0
810;P.1.11280702.0.0_accelerationReference;REAL;1.11280702.0
811;P.1.11280703.0.0_decelerationReference;REAL;1.11280703.0
830;P.1.11280116.0.0_activatePositionCaptureTel111;UINT;1.11280116.0
844;P.1.11280060.0.0_warningBufferChangedCounter;UINT;1.11280060.0
847;P.1.11280042.0.0_warningBuffer_Number;UINT;1.11280042.0
848;P.1.11280043.0.0_warningBuffer_Time;UDINT;1.11280043.0
860;P.1.66061.0.0_testFault1Value;UINT;1.66061.0
861;P.1.66062.0.0_testFault2Value;UINT;1.66062.0
870;P.1.11280540.0.0_ac4Controlword;UINT;1.11280540.0
871;P.1.11280541.0.0_ac4Statusword;UINT;1.11280541.0
922;P.0.11280201.0.0_telegramSelection;UINT;0.11280201.0
924;P.1.24126.0.0_pulsesEnabled;UINT;1.24126.0
925;P.1.4243.0.0_noOfToleratedSolFailures;UINT;1.4243.0
927;P.0.100072.0.0_exclusiveOperationPriorityID;UDINT;0.100072.0
930;P.1.11280002.0.0_operatingMode;UINT;1.11280002.0
944;P.1.11280061.0.0_faultBufferChangedCounter;UINT;1.11280061.0
947;P.1.11280040.0.0_faultBuffer_Number;UINT;1.11280040.0
948;P.1.11280041.0.0_faultBuffer_Time;UDINT;1.11280041.0
964;P.1.24125.0.0_driveUnitIdentification;UINT;1.24125.0
965;P.1.11280004.0.0_profileIdentificationNumber;USINT;1.11280004.0
972;P.0.112901.0.0_driveReset;UINT;0.112901.0
974;P.1.11280030.0.0_parameterIdentification;UINT;1.11280030.0
975;P.1.24124.0.0_driveObjectIdentification;UINT;1.24124.0
976;P.0.112902.0.0_setDefaultValues;UINT;0.112902.0
977;P.0.112903.0.0_saveParameterSet;UINT;0.112903.0
979;P.1.231243.0.0_sensorFormat;UDINT;1.231243.0
2008;SingleturnResolution;UDINT;0.60.0
2009;MultiturnResolution;UDINT;0.61.0
2010;NativeSingleturnPosition;UDINT;0.62.0
2011;NativeMultiturnPosition;UDINT;0.63.0
2012;EnDat22Support;BOOL;0.64.0
2013;IdentifictionNumber;UINT;0.65.0
2014;SerialNumber;UINT;0.66.0
2016;EncoderPosition;DINT;0.68.0
2017;CablePropagationTime;UDINT;0.69.0
2018;festoPartNumberDevice;UDINT;0.70.0
2019;nocCodeDevice;STRING(50);0.71.0
2020;hardwareVersionMajorDevice;STRING(2);0.73.0
2021;serialNumberDevice;STRING(5);0.79.0
2032;stateStatusLed;UINT;0.160.0
2033;statePowerLed;UINT;0.161.0
2034;stateSafetyLed;UINT;0.162.0
2035;stateAppLed;UINT;0.163.0
2040;debugVarOut0;REAL;0.190.0
2041;debugVarOut1;REAL;0.191.0
2042;debugVarOut2;REAL;0.192.0
2043;debugVarOut3;REAL;0.193.0
2044;debugVarOut4;REAL;0.194.0
2045;debugVarOut5;REAL;0.195.0
2046;debugVarOut6;REAL;0.196.0
2047;debugVarOut7;REAL;0.197.0
2048;debugVarOut8;REAL;0.198.0
2049;debugVarOut9;REAL;0.199.0
2058;fieldbusSerialNumber;UDINT;0.246.0
2059;macAdressCOM0;USINT;0.247.0
2060;macAdressCOM1;USINT;0.248.0
2061;macAdressCOM2;USINT;0.249.0
2062;festoPartNumberControlBoard;UDINT;0.250.0
2063;nocCodeControlPcb;STRING(50);0.251.0
2064;hardwareVersionMajorControlBoard;STRING(2);0.253.0
2065;hardwareCompatibilityIndexControlBoard;UINT;0.254.0
2071;festoPartNumberSafetyBoard;UDINT;0.260.0
2072;nocCodeSafetyBoard;STRING(50);0.261.0
2073;hardwareVersionMajorSafetyBoard;STRING(2);0.263.0
2074;hardwareCompatibilityIndexSafetyBoard;UINT;0.264.0
2075;macAdressCOM3;USINT;0.265.0
2076;serialNumberControlBoard;STRING(9);0.266.0
2077;serialNumberSafetyBoard;STRING(9);0.267.0
2079;controllerDatabaseId;UDINT;0.269.0
2081;mainStatus;UINT;0.300.0
2082;status;UINT;0.301.0
