icp_number;name;remedy
1;Telegram not supported;- Request Only the telegrams supported by the device (see documentation)
10;Short circuit motor phases/braking resistor;- Check wiring and rectify short circuit
11;Over-current monitoring;"- Check wiring of motor phases (short circuit?)
- Check wiring of braking resistor (short circuit?)
- Check commutation angle"
12;I²t monitoring: motor warning limit;"- Reduce dynamics of movement orders
- Check holding brake
- Motor/mechanism blocked or stiff?"
13;I²t monitoring: motor error limit;"- Motor/mechanics blocked or stiff?
- Motor undersized?
- Power dimensioning Check drive package
- Check holding brake"
14;I²t monitoring: output stage warning limit;"- Motor/mechanics blocked or stiff?
- Motor undersized?
- Power dimensioning Check drive package
- Check holding brake"
15;I²t monitoring: output stage error limit;"- Motor/mechanics blocked or stiff?
- Motor undersized?
- Power dimensioning Check drive package
- Check holding brake"
16;I²t monitoring: output stage v0 warning limit;"- Reduce set current / set torque
- Reduce downtime
- Allow movement >5 Hz electrical rotational frequency"
17;I²t monitoring: output stage v0 error limit;"- Reduce set current / set torque
- Reduce downtime
- Allow movement >5 Hz electrical rotational frequency"
18;I²t monitoring, motor: parameterisation invalid;"- Check parameterization for I²t limit value (Px.7144)
- Nominal current (Px.7117) and maximum current (Px.7120) of the Motor plausible?"
19;Warning: pulse energy monitoring, braking resistor;"- Reduce deceleration dynamics
- Use braking resistor with higher pulse energy"
20;Error: pulse energy monitoring, braking resistor;"- Reduce deceleration dynamics
- Use braking resistor with higher pulse energy"
21;Parameterisation braking resistor;- Check parameterization of external braking resistor (P0.6510, P0.6511, P0.6512)
22;Undervoltage in logic supply (PS) 24 V DC;- Check power supply.
23;Overvoltage in logic supply (PS) 24 V DC;- Check power supply.
24;Undervoltage in logic supply 5V;- Check power supply.
25;Overvoltage in logic supply 5V;- Check power supply.
26;Undervoltage in logic supply 3.3V;- Check power supply.
27;Overvoltage in logic supply 3.3V internal;- Check power supply.
28;Undervoltage in logic supply safety section 3.3V;- Check power supply.
29;Overvoltage in logic supply safety section 3.3V;- Check power supply.
30;Overvoltage in intermediate circuit;"- Check braking resistor dimensioning, value too high
- Reduce deceleration dynamics
- Check limit value for DC link switch-off (P0.4812)"
31;Undervoltage in intermediate circuit;"- Check power supply
- Couple DC links, if technically permissible
- Check DC link voltage (measure)
- Check undervoltage monitoring (threshold value) (P0.4814)"
32;Intermediate circuit danger threshold reached;- None (info only)
33;DC link voltage too low following power failure;"- Check power supply (break-ins?)
- Check wiring (loose contact?)"
34;Intermediate circuit precharge time exceeded;"- Check DC link coupling
- Check value of the connected braking resistor
- Braking resistor Wiring interrupted?
- Check value for Lower limit value DC link voltage (P0. 4814).
- Device defective?"
