pnu;name;data_type
1;controlWord1;UINT
2;statusWord1;UINT
3;controlWord2;UINT
4;statusWord2;UINT
5;speedSetpoint;INT
6;outputV0;INT
7;speedSetpoint;DINT
8;outputV0;DINT
9;sensorControlword1;UINT
10;sensorStatusword1;UINT
11;sensor1PositionActualValue1;UDINT
12;sensor1PositionActualValue2;UDINT
13;sensorControlword2;UINT
14;sensorStatusword2;UINT
15;sensor2PositionActualValue1;UDINT
16;sensor2PositionActualValue2;UDINT
25;systemDeviation;DINT
26;posGainFactor;DINT
28;Position actual value A;DINT
32;motionRecordSelection;UINT
33;activeMotionRecord;UINT
34;mdiTargetPosition;DINT
35;mdiVeclocity;UDINT
36;mdiAcceleration;INT
37;mdiDeceleration;INT
38;mdiMode;UINT
101;torqReduction;INT
102;statuswordReports;UINT
205;positioningVelocityOverride;INT
220;positioningControlword1;UINT
221;positioningStatusword1;UINT
222;positioningControlword2;UINT
223;positioningStatusword2;UINT
301;faultNumberActive;UINT
303;warnNumberActive;UINT
311;torqueOffset_T750;REAL
312;torqueMax_T750;REAL
313;torqueMin_T750;REAL
314;torqueActDrive;REAL
315;gainFactor;REAL
800;syncTime;REAL
801;reqState;DINT
802;actState;DINT
803;reductionRatio;UDINT
810;accelerationReference;REAL
811;decelerationReference;REAL
830;Activate Position Capture (Telegram 111);UINT
844;warningMessageCounter;UINT
847;warningtNumber;UINT
848;warningTime;UDINT
860;testFault1Value;UINT
861;testFault2Value;UINT
870;ac4Controlword;UINT
871;ac4Statusword;UINT
922;telegramSelection;UINT
924;pulsesEnabled;UINT
925;noOfToleratedSolFailures;UINT
927;operationPriorityOfParameters;UDINT
930;operatingMode;UINT
944;faultMessageCounter;UINT
947;faultNumber;UINT
948;faultTime;UDINT
964;driveUnitIdentification;UINT
965;profileIdentificationNumber;USINT
972;driveReset;UINT
974;parameterIdentification;UINT
975;driveObjectIdentification;UINT
976;setDefaultValues;UINT
977;saveParameterSet;UINT
979;sensorFormat;UDINT
2008;P0.60.0.0_SingleturnResolution;UDINT
2009;P0.61.0.0_MultiturnResolution;UDINT
2010;P0.62.0.0_NativeSingleturnPosition;UDINT
2011;P0.63.0.0_NativeMultiturnPosition;UDINT
2012;P0.64.0.0_EnDat22Support;BOOL
2013;P0.65.0.0_IdentifictionNumber;UINT
2014;P0.66.0.0_SerialNumber;UINT
2016;P0.68.0.0_EncoderPosition;DINT
2017;P0.69.0.0_CablePropagationTime;UDINT
2018;P0.70.0.0_festoPartNumberDevice;UDINT
2019;P0.71.0.0_nocCodeDevice;STRING(50)
2020;P0.73.0.0_hardwareVersionMajorDevice;STRING(2)
2021;P0.79.0.0_serialNumberDevice;STRING(5)
2032;P0.160.0.0_stateStatusLed;UINT
2033;P0.161.0.0_statePowerLed;UINT
2034;P0.162.0.0_stateSafetyLed;UINT
2035;P0.163.0.0_stateAppLed;UINT
2040;P0.190.0.0_debugVarOut0;REAL
2041;P0.191.0.0_debugVarOut1;REAL
2042;P0.192.0.0_debugVarOut2;REAL
2043;P0.193.0.0_debugVarOut3;REAL
2044;P0.194.0.0_debugVarOut4;REAL
2045;P0.195.0.0_debugVarOut5;REAL
2046;P0.196.0.0_debugVarOut6;REAL
2047;P0.197.0.0_debugVarOut7;REAL
2048;P0.198.0.0_debugVarOut8;REAL
2049;P0.199.0.0_debugVarOut9;REAL
2058;P0.246.0.0_fieldbusSerialNumber;UDINT
2059;P0.247.0.0_macAdressCOM0;USINT
2060;P0.248.0.0_macAdressCOM1;USINT
2061;P0.249.0.0_macAdressCOM2;USINT
2062;P0.250.0.0_festoPartNumberControlBoard;UDINT
2063;P0.251.0.0_nocCodeControlPcb;STRING(50)
2064;P0.253.0.0_hardwareVersionMajorControlBoard;STRING(2)
2065;P0.254.0.0_hardwareCompatibilityIndexControlBoard;UINT
2071;P0.260.0.0_festoPartNumberSafetyBoard;UDINT
2072;P0.261.0.0_nocCodeSafetyBoard;STRING(50)
2073;P0.263.0.0_hardwareVersionMajorSafetyBoard;STRING(2)
2074;P0.264.0.0_hardwareCompatibilityIndexSafetyBoard;UINT
2075;P0.265.0.0_macAdressCOM3;USINT
2076;P0.266.0.0_serialNumberControlBoard;STRING(9)
2077;P0.267.0.0_serialNumberSafetyBoard;STRING(9)
2079;P0.269.0.0_controllerDatabaseId;UDINT
2081;P0.300.0.0_mainStatus;UINT
2082;P0.301.0.0_status;UINT
2083;P0.301.1.0_status;UINT
2084;P0.302.0.0_reaction;UINT
2085;P0.302.1.0_reaction;UINT
2086;P0.303.0.0_maxQueueCount;UDINT
2087;P0.304.0.0_actQueueCount;UDINT
2113;P0.340.0.0_traceSelection;UDINT
2114;P0.341.0.0_triggerSelection;UDINT
2118;P0.440.0.0_Position;LINT
2119;P0.440.1.0_Position;LINT
2128;P0.445.0.0_lines;UDINT
2129;P0.445.1.0_lines;UDINT
2148;P0.480.0.0_dcVoltage;REAL
2153;P0.487.0.0_dcLinkUndervoltageLevel;UINT
2154;P0.488.0.0_dcLinkUndervoltageOptions;USINT
2155;P0.489.0.0_dcLinkOvervoltageWarnLevel;UINT
2156;P0.490.0.0_vMainsPeak;REAL
2157;P0.491.0.0_vMainsRMS;REAL
2158;P0.492.0.0_vMainsRectified;REAL
2159;P0.493.0.0_vMainsLimitLowUser;REAL
2160;P0.494.0.0_vMainsLimitHighUser;REAL
2161;P0.495.0.0_fMains;REAL
2162;P0.501.0.0_mainsFaultLevel;UINT
2163;P0.502.0.0_mainsFaultOptions;USINT
2164;P0.503.0.0_mainsDropLevel;UINT
2165;P0.504.0.0_mainsDropOptions;USINT
2168;P0.519.0.0_mainsUndervoltageLevel;UINT
2169;P0.520.0.0_U24V0;REAL
2173;P0.556.0.0_state;UDINT
2174;P0.557.0.0_preTriggerSamplesSelection;DINT
2175;P0.558.0.0_captureSamplesSelection;UDINT
2176;P0.559.0.0_resolutionMultipleSelection;UDINT
2180;P0.571.0.0_numberOfParameterSetSlots;UDINT
2186;P0.610.0.0_InternalTemperature;UDINT
2187;P0.611.0.0_ExternalTemperature;UDINT
2190;P0.615.0.0_EncoderSupplyVoltage;REAL
2191;P0.640.0.0_Position;LINT
2201;P0.650.0.0_EInitGain;REAL
2202;P0.651.0.0_ELim;REAL
2203;P0.652.0.0_EMaxRel;REAL
2204;P0.653.0.0_EAct;REAL
2205;P0.654.0.0_EActRel;REAL
2206;P0.655.0.0_ELimWarnGain;REAL
2207;P0.656.0.0_PAct;REAL
2209;P0.658.0.0_RSelectorSet;BOOL
2210;P0.659.0.0_RSelectorAct;BOOL
2211;P0.670.0.0_fSwitch;UDINT
2215;P0.710.0.0_productKeyMotor;STRING(15)
2216;P0.710.1.0_productKeyMotor;STRING(15)
2217;P0.711.0.0_nocCodeMotor;STRING(32)
2218;P0.711.1.0_nocCodeMotor;STRING(32)
2219;P0.712.0.0_festoPartNumberMotor;UDINT
2220;P0.712.1.0_festoPartNumberMotor;UDINT
